PARK,PLOT,SPECIES,REP,DATE,PLOT,SUBPLOT,HEIGHT,TOTALINFL,TOPINFL_FR,SIDEINFL_FR,FR_PER_INFL,FINALFR,NOTES,,,,,,,,,,,,
SEM,DIVERSE,CLAPUR,4,7/23/2025,7,D1,,,,,,,GONE,,,,,,,,,,,,
SEM,DIVERSE,CLAPUR,5,,8,A1,,,,,,,GONE,,,,,,,,,,,,
SEM,DIVERSE,CLAPUR,6,,6,D5,,,,,,,GONE,,,,,,,,,,,,
SEM,DIVERSE,CLAPUR,7,7/18/2025,5,,,,,,,,GONE,,,,,,,,,,,,
SEM,DIVERSE,CLAPUR,8,7/18/2025,3,E2,18,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,CLAPUR,9,7/23/2025,7,A2,6.2,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,CLAPUR,10,7/22/2025,1,C1,13.8,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,CLAPUR,11,7/18/2025,5,B4,3.8,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,CLAPUR,12,7/22/2025,4,C1,7.7,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,CLAPUR,13,7/22/2025,4,B2,8.2,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,CLAPUR,14,7/22/2025,1,E2,6.9,,,,,2,,,,,,,,,,,,,
SEM,DIVERSE,CLAPUR,15,,,,,,,,,,gone,,,,,,,,,,,,
SEM,DIVERSE,CLAPUR,,7/22/2025,1,C5,9.1,,,,,1,,,,,,,,,,,,,
SEM,ALONE,COLLIN,1,7/1/2025,,,3.6,,,,,0,,,,,,,,,,,,,
SEM,ALONE,COLLIN,4,7/1/2025,,,7.1,,,,,7,,,,,,,,,,,,,
SEM,ALONE,COLLIN,5,7/1/2025,,,4.2,,,,,1,BT,,,,,,,,,,,,
SEM,ALONE,COLLIN,6,7/1/2025,,,9.4,,,,,3,,,,,,,,,,,,,
SEM,ALONE,COLLIN,7,7/1/2025,,,7.6,,,,,5,,,,,,,,,,,,,
SEM,ALONE,COLLIN,11,7/1/2025,,,5.5,,,,,9,,,,,,,,,,,,,
SEM,ALONE,COLLIN,13,7/1/2025,,,7.4,,,,,5,,,,,,,,,,,,,
SEM,ALONE,COLLIN,14,7/1/2025,,,7.8,,,,,0,BT,,,,,,,,,,,,
SEM,ALONE,COLLIN,,7/1/2025,,,5.2,,,,,3,,,,,,,,,,,,,
SEM,ALONE,COLLIN,,7/1/2025,,,5.6,,,,,3,,,,,,,,,,,,,
SEM,ALONE,COLLIN,,7/1/2025,,,9.1,,,,,16,,,,,,,,,,,,,
SEM,ALONE,COLLIN,,7/1/2025,,,6.1,,,,,4,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,1,7/1/2025,6,C3,2.1,,,,,0,BT,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,2,7/1/2025,8,D3,9.9,,,,,4,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,3,7/1/2025,1,E1,8.1,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,4,7/1/2025,7,C5,18.1,,,,,8,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,5,7/1/2025,3,C4,,,,,,,gone,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,6,7/1/2025,7,E4,17.4,,,,,4,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,7,7/1/2025,4,E3,21.5,,,,,5,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,8,7/1/2025,4,C2,8.3,,,,,0,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,9,7/1/2025,2,D4,,,,,,,gone,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,10,7/1/2025,3,D5,14.7,,,,,4,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,11,7/1/2025,2,D5,19.5,,,,,5,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,12,7/1/2025,2,B4,14.9,,,,,7,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,13,7/1/2025,3,D1,22,,,,,4,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,14,7/1/2025,3,C1,15.2,,,,,2,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,15,7/1/2025,3,C4,14.9,,,,,2,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,16,7/1/2025,5,D4,21.2,,,,,9,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,17,7/1/2025,1,B4,13.5,,,,,2,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,18,7/1/2025,1,D2,13.9,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,19,7/1/2025,1,E2,19.1,,,,,23,BT,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,20,7/1/2025,5,D3,10.8,,,,,2,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,21,7/1/2025,1,D4,13.6,,,,,9,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,22,7/1/2025,1,C2,17.1,,,,,6,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,23,7/1/2025,1,A4,18.4,,,,,3,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,24,7/1/2025,1,B4,19.9,,,,,4,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,25,7/1/2025,6,D5,22,,,,,2,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,26,7/1/2025,6,D5,23.2,,,,,3,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,27,7/1/2025,6,D1,18.6,,,,,4,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,28,7/1/2025,6,C5,21,,,,,1,BT,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,29,7/1/2025,6,B2,13.8,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,30,7/1/2025,3,C2,12.6,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,31,7/1/2025,3,D2,19.1,,,,,5,BT,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,32,7/1/2025,4,E4,14.1,,,,,5,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,33,7/1/2025,4,E2,17,,,,,3,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,34,7/1/2025,8,C2,9.6,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,35,7/1/2025,4,E3,15,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,36,7/18/2025,2,C5,5.8,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,37,7/18/2025,5,D3,20.2,,,,,2,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,38,7/18/2025,6,E3,7.8,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,39,7/18/2025,6,A2,21.2,,,,,4,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,40,7/18/2025,6,D2,5.2,,,,,3,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,41,7/18/2025,6,E4,9.3,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,42,7/18/2025,6,D5,14.5,,,,,4,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,43,7/18/2025,6,C2,19.6,,,,,4,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,44,7/18/2025,6,C4,6.9,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,45,7/18/2025,6,B3,7.4,,,,,3,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,46,7/18/2025,6,D4,13.5,,,,,3,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,47,,8,D2,19.3,,,,,5,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,48,,8,D3,7.6,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,49,7/23/2025,7,A3,17.2,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,50,7/23/2025,7,D4,12.4,,,,,2,BT,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,51,7/23/2025,7,C5,12.1,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,52,7/22/2025,4,E2,16.2,,,,,2,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,53,7/22/2025,4,C2,10.8,,,,,3,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,54,7/22/2025,3,D1,22.3,,,,,3,BT,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,55,7/22/2025,3,C3,11.5,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,56,7/22/2025,3,A3,7,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,57,7/22/2025,3,D4,12.2,,,,,2,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,58,7/22/2025,1,B5,9.2,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,59,7/22/2025,1,E2,14.5,,,,,5,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,60,7/22/2025,1,C4,16.8,,,,,2,,,,,,,,,,,,,
SEM,DIVERSE,COLLIN,61,7/22/2025,1,A4,6.5,,,,,1,,,,,,,,,,,,,
SEM,ALONE,COLLOM,1,,,,,,,,,,GONE,,,,,,,,,,,,
SEM,ALONE,COLLOM,2,,,,,,,,,,GONE,,,,,,,,,,,,
SEM,ALONE,COLLOM,3,7/18/2025,,,8.3,,,,,14,,,,,,,,,,,,,
SEM,ALONE,COLLOM,4,7/18/2025,,,5.3,,,,,9,,,,,,,,,,,,,
SEM,ALONE,COLLOM,5,7/18/2025,,,4.6,,,,,18,,,,,,,,,,,,,
SEM,ALONE,COLLOM,6,7/18/2025,,,6.1,,,,,8,,,,,,,,,,,,,
SEM,ALONE,COLLOM,7,7/18/2025,,,11.6,,,,,50,,,,,,,,,,,,,
SEM,ALONE,COLLOM,8,7/18/2025,,,3.3,,,,,1,,,,,,,,,,,,,
SEM,ALONE,COLLOM,9,7/18/2025,,,4.9,,,,,14,,,,,,,,,,,,,
SEM,ALONE,COLLOM,10,,,,,,,,,,GONE,,,,,,,,,,,,
SEM,ALONE,COLLOM,11,,,,,,,,,,GONE,,,,,,,,,,,,
SEM,ALONE,COLLOM,12,7/18/2025,,,7.9,,,,,10,,,,,,,,,,,,,
SEM,ALONE,COLLOM,13,,,,,,,,,,GONE,,,,,,,,,,,,
SEM,ALONE,COLLOM,14,7/18/2025,,,6.8,,,,,4,,,,,,,,,,,,,
SEM,ALONE,COLLOM,15,7/18/2025,,,6.3,,,,,7,,,,,,,,,,,,,
SEM,ALONE,COLLOM,16,7/18/2025,,,6.6,,,,,16,,,,,,,,,,,,,
SEM,ALONE,COLLOM,17,7/18/2025,,,4.7,,,,,8,,,,,,,,,,,,,
SEM,ALONE,COLLOM,18,7/18/2025,,,7.4,,,,,19,,,,,,,,,,,,,
SEM,ALONE,COLLOM,19,7/18/2025,,,5.1,,,,,5,,,,,,,,,,,,,
SEM,ALONE,COLLOM,20,7/18/2025,,,5.8,,,,,6,BT,,,,,,,,,,,,
SEM,ALONE,COLLOM,21,7/18/2025,,,3.5,,,,,9,,,,,,,,,,,,,
SEM,ALONE,COLLOM,22,7/18/2025,,,4.9,,,,,16,,,,,,,,,,,,,
SEM,DIVERSE,COLLOM,1,,2,D3,,,,,,,GONE,,,,,,,,,,,,
SEM,DIVERSE,COLLOM,2,7/22/2025,4,A2,6.6,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,COLLOM,3,7/18/2025,2,E2,6.5,,,,,6,BT,,,,,,,,,,,,
SEM,DIVERSE,COLLOM,4,7/22/2025,4,C3,6.8,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,COLLOM,5,7/22/2025,4,E5,17,,,,,4,,,,,,,,,,,,,
SEM,DIVERSE,COLLOM,6,,4,,,,,,,,GONE,,,,,,,,,,,,
SEM,DIVERSE,COLLOM,7,7/18/2025,6,B1,,,,,,10,,,,,,,,,,,,,
SEM,DIVERSE,COLLOM,8,7/22/2025,4,C5,11.5,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,COLLOM,9,7/22/2025,3,B2,10.5,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,COLLOM,10,7/22/2025,8,B5,14.6,,,,,2,,,,,,,,,,,,,
SEM,DIVERSE,COLLOM,11,7/18/2025,5,C5,7,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,COLLOM,12,7/18/2025,5,E1,8.6,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,COLLOM,13,7/18/2025,2,E4,7.6,,,,,5,,,,,,,,,,,,,
SEM,DIVERSE,COLLOM,14,7/18/2025,5,E5,9.1,,,,,2,,,,,,,,,,,,,
SEM,DIVERSE,COLLOM,15,7/18/2025,5,D1,11.2,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,COLLOM,16,7/18/2025,5,B3,7.3,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,COLLOM,17,7/18/2025,2,B1,10.2,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,COLLOM,18,7/18/2025,2,D1,11.7,,,,,3,,,,,,,,,,,,,
SEM,DIVERSE,COLLOM,19,7/18/2025,2,A2,10.6,,,,,3,,,,,,,,,,,,,
SEM,DIVERSE,COLLOM,20,7/18/2025,6,D1,12.6,,,,,5,,,,,,,,,,,,,
SEM,DIVERSE,COLLOM,21,7/18/2025,6,C1,10.3,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,COLLOM,22,,8,A2,15.2,,,,,8,,,,,,,,,,,,,
SEM,DIVERSE,COLLOM,23,7/23/2025,7,D2,8.2,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,COLLOM,24,7/23/2025,7,B2,6.8,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,COLLOM,25,7/22/2025,4,A5,10,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,COLLOM,26,7/22/2025,4,D4,11.2,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,COLLOM,27,7/22/2025,4,A1,9.5,,,,,4,,,,,,,,,,,,,
SEM,DIVERSE,COLLOM,28,7/22/2025,4,D2,12.5,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,COLLOM,29,7/22/2025,3,B1,12.4,,,,,5,,,,,,,,,,,,,
SEM,DIVERSE,COLLOM,30,7/22/2025,3,C2,15.4,,,,,8,,,,,,,,,,,,,
SEM,DIVERSE,COLLOM,31,7/22/2025,1,A1,14.6,,,,,6,,,,,,,,,,,,,
SEM,DIVERSE,COLLOM,32,7/22/2025,1,B1,8.8,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,COLLOM,33,7/22/2025,1,B2,20,,,,,4,,,,,,,,,,,,,
SEM,ALONE,EPIDEN,1,7/18/2025,,,6.9,,,,,6,,,,,,,,,,,,,
SEM,ALONE,EPIDEN,2,7/18/2025,,,10.8,,,,,11,,,,,,,,,,,,,
SEM,ALONE,EPIDEN,3,7/18/2025,,,8.5,,,,,20,,,,,,,,,,,,,
SEM,ALONE,EPIDEN,4,7/18/2025,,,25.6,,,,,61,,,,,,,,,,,,,
SEM,ALONE,EPIDEN,5,7/18/2025,,,6,,,,,4,,,,,,,,,,,,,
SEM,ALONE,EPIDEN,6,7/18/2025,,,15.9,,,,,25,,,,,,,,,,,,,
SEM,ALONE,EPIDEN,7,7/18/2025,,,5.1,,,,,7,,,,,,,,,,,,,
SEM,ALONE,EPIDEN,8,7/18/2025,,,9.1,,,,,10,,,,,,,,,,,,,
SEM,ALONE,EPIDEN,9,7/18/2025,,,2.5,,,,,0,,,,,,,,,,,,,
SEM,ALONE,EPIDEN,11,7/18/2025,,,6.8,,,,,32,,,,,,,,,,,,,
SEM,ALONE,EPIDEN,12,7/18/2025,,,4.4,,,,,17,,,,,,,,,,,,,
SEM,ALONE,EPIDEN,13,7/18/2025,,,9.2,,,,,36,,,,,,,,,,,,,
SEM,ALONE,EPIDEN,14,7/18/2025,,,8.6,,,,,55,,,,,,,,,,,,,
SEM,ALONE,EPIDEN,15,7/18/2025,,,4.2,,,,,18,,,,,,,,,,,,,
SEM,ALONE,EPIDEN,16,7/18/2025,,,8.1,,,,,9,,,,,,,,,,,,,
SEM,ALONE,EPIDEN,17,7/18/2025,,,8.4,,,,,11,,,,,,,,,,,,,
SEM,ALONE,EPIDEN,18,7/18/2025,,,11.2,,,,,14,,,,,,,,,,,,,
SEM,ALONE,EPIDEN,19,7/18/2025,,,6.7,,,,,20,,,,,,,,,,,,,
SEM,ALONE,EPIDEN,20,7/18/2025,,,16.2,,,,,21,,,,,,,,,,,,,
SEM,DIVERSE,EPIDEN,1,7/22/2025,2,E5,18.6,,,,,8,,,,,,,,,,,,,
SEM,DIVERSE,EPIDEN,2,,2,A2,,,,,,,GONE,,,,,,,,,,,,
SEM,DIVERSE,EPIDEN,3,7/22/2025,4,B3,5.8,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,EPIDEN,4,7/22/2025,4,D5,3.3,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,EPIDEN,5,,1,,,,,,,,GONE,,,,,,,,,,,,
SEM,DIVERSE,EPIDEN,6,7/18/2025,5,B5,3,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,EPIDEN,7,7/22/2025,3,D2,21.9,,,,,9,,,,,,,,,,,,,
SEM,DIVERSE,EPIDEN,8,7/18/2025,5,E5,5.6,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,EPIDEN,9,7/22/2025,3,B2,16.4,,,,,5,,,,,,,,,,,,,
SEM,DIVERSE,EPIDEN,10,7/22/2025,1,E3,7.7,,,,,3,,,,,,,,,,,,,
SEM,DIVERSE,EPIDEN,11,7/18/2025,2,C1,13.1,,,,,3,,,,,,,,,,,,,
SEM,DIVERSE,EPIDEN,12,7/18/2025,2,C2,2.5,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,EPIDEN,13,7/22/2025,1,E4,10.8,,,,,8,,,,,,,,,,,,,
SEM,DIVERSE,EPIDEN,14,7/22/2025,1,A3,5.5,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,EPIDEN,15,,,,,,,,,,GONE,,,,,,,,,,,,
SEM,DIVERSE,EPIDEN,,7/18/2025,2,D2,18.2,,,,,10,,,,,,,,,,,,,
SEM,DIVERSE,EPIDEN,,7/18/2025,2,B2,4.1,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,EPIDEN,,7/18/2025,1,E4,9.8,,,,,13,,,,,,,,,,,,,
SEM,DIVERSE,EPIDEN,,7/18/2025,6,B5,8.7,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,EPIDEN,,,8,E1,6.1,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,EPIDEN,,,8,D1,7.2,,,,,3,,,,,,,,,,,,,
SEM,DIVERSE,EPIDEN,,7/22/2025,4,E4,10.2,,,,,3,,,,,,,,,,,,,
SEM,DIVERSE,EPIDEN,,7/22/2025,4,C4,7.9,,,,,1,,,,,,,,,,,,,
SEM,DIVERSE,EPIDEN,,7/22/2025,4,D3,17.2,,,,,13,,,,,,,,,,,,,
SEM,DIVERSE,EPIDEN,,7/22/2025,4,E1,9.4,,,,,4,,,,,,,,,,,,,
SEM,DIVERSE,EPIDEN,,7/22/2025,1,C3,13.1,,,,,11,,,,,,,,,,,,,
SEM,DIVERSE,EPIDEN,,7/22/2025,1,D4,21.9,,,,,24,,,,,,,,,,,,,
SEM,DIVERSE,EPIDEN,,7/22/2025,1,D1,7.2,,,,,6,,,,,,,,,,,,,
SEM,DIVERSE,EPIDEN,,7/22/2025,1,E1,12.1,,,,,7,,,,,,,,,,,,,
SEM,DIVERSE,EPIDEN,,7/22/2025,1,D2,15.4,,,,,5,,,,,,,,,,,,,
SEM,ALONE,GILCAP,1,7/18/2025,,,25.2,9,,,,225,,,,,,,,,,,,,
SEM,ALONE,GILCAP,2,7/18/2025,,,25.2,18,,,,450,,,,,,,,,,,,,
SEM,ALONE,GILCAP,3,7/18/2025,,,8.2,1,,,,25,BT,,,,,,,,,,,,
SEM,ALONE,GILCAP,4,7/18/2025,,,20.8,13,,,,325,,,,,,,,,,,,,
SEM,ALONE,GILCAP,5,7/18/2025,,,14.4,5,,,,125,,,,,,,,,,,,,
SEM,ALONE,GILCAP,6,7/18/2025,,,17.4,22,,,,550,,,,,,,,,,,,,
SEM,ALONE,GILCAP,7,7/18/2025,,,19,25,,,,625,,,,,,,,,,,,,
SEM,ALONE,GILCAP,8,7/18/2025,,,11.9,14,,,,350,,,,,,,,,,,,,
SEM,ALONE,GILCAP,9,7/18/2025,,,7.3,4,,,,100,BT,,,,,,,,,,,,
SEM,ALONE,GILCAP,10,7/18/2025,,,17,17,,,,425,,,,,,,,,,,,,
SEM,ALONE,GILCAP,11,7/18/2025,,,20.7,13,,,,325,,,,,,,,,,,,,
SEM,ALONE,GILCAP,12,7/18/2025,,,14.9,31,,,,775,,,,,,,,,,,,,
SEM,ALONE,GILCAP,13,7/18/2025,,,14.2,21,,,,525,,,,,,,,,,,,,
SEM,ALONE,GILCAP,14,7/18/2025,,,19.2,4,,,,100,,,,,,,,,,,,,
SEM,ALONE,GILCAP,15,7/18/2025,,,27.4,4,,,,100,BT,,,,,,,,,,,,
SEM,ALONE,GILCAP,16,7/18/2025,,,21,16,,,,400,,,,,,,,,,,,,
SEM,ALONE,GILCAP,17,7/18/2025,,,16.9,10,,,,250,BT,,,,,,,,,,,,
SEM,ALONE,GILCAP,18,7/18/2025,,,21,70,,,,1750,,,,,,,,,,,,,
SEM,ALONE,GILCAP,19,7/18/2025,,,8.6,13,,,,325,BT,,,,,,,,,,,,
SEM,ALONE,GILCAP,20,7/18/2025,,,15.9,8,,,,200,BT,,,,,,,,,,,,
SEM,DIVERSE,GILCAP,1,,8,,,,,,,,GONE,,,,,,,,,,,,
SEM,DIVERSE,GILCAP,2,7/22/2025,3,E1,22.6,1,,,,25,,,,,,,,,,,,,
SEM,DIVERSE,GILCAP,3,7/22/2025,8,C2,26.2,2,,,,50,BT,,,,,,,,,,,,
SEM,DIVERSE,GILCAP,4,7/22/2025,8,D4,21.2,3,,,,75,,,,,,,,,,,,,
SEM,DIVERSE,GILCAP,5,7/23/2025,7,D1,18.9,1,,,,25,BT,,,,,,,,,,,,
SEM,DIVERSE,GILCAP,6,7/18/2025,5,C3,4,2,,,,50,,,,,,,,,,,,,
SEM,DIVERSE,GILCAP,7,,5,,,,,,,,GONE,,,,,,,,,,,,
SEM,DIVERSE,GILCAP,8,,2,E3,,,,,,,GONE,,,,,,,,,,,,
SEM,DIVERSE,GILCAP,9,7/22/2025,4,E3,26.9,7,,,,175,,,,,,,,,,,,,
SEM,DIVERSE,GILCAP,10,7/18/2025,6,C3,15.7,1,,,,25,BT,,,,,,,,,,,,
SEM,DIVERSE,GILCAP,11,7/18/2025,5,D5,15.3,2,,,,50,,,,,,,,,,,,,
SEM,DIVERSE,GILCAP,12,7/18/2025,5,D2,13.8,1,,,,25,,,,,,,,,,,,,
SEM,DIVERSE,GILCAP,13,7/18/2025,5,C4,13.2,1,,,,25,,,,,,,,,,,,,
SEM,DIVERSE,GILCAP,14,7/18/2025,5,D4,29.1,1,,,,25,,,,,,,,,,,,,
SEM,DIVERSE,GILCAP,15,7/18/2025,2,D5,17,4,,,,100,BT,,,,,,,,,,,,
SEM,DIVERSE,GILCAP,16,7/18/2025,5,C1,27.1,1,,,,25,,,,,,,,,,,,,
SEM,DIVERSE,GILCAP,17,7/18/2025,5,C2,21.7,1,,,,25,BT,,,,,,,,,,,,
SEM,DIVERSE,GILCAP,18,7/18/2025,5,B1,9.9,1,,,,25,BT,,,,,,,,,,,,
SEM,DIVERSE,GILCAP,19,7/18/2025,2,A5,14.1,1,,,,25,,,,,,,,,,,,,
SEM,DIVERSE,GILCAP,20,7/18/2025,5,A1,35.2,2,,,,50,BT,,,,,,,,,,,,
SEM,DIVERSE,GILCAP,21,7/18/2025,2,A3,14.1,1,,,,25,,,,,,,,,,,,,
SEM,DIVERSE,GILCAP,22,7/18/2025,2,D4,4.5,4,,,,100,BT,,,,,,,,,,,,
SEM,DIVERSE,GILCAP,23,7/18/2025,6,A1,16.6,1,,,,25,,,,,,,,,,,,,
SEM,DIVERSE,GILCAP,24,7/18/2025,1,E5,11,37,,,,925,BT,,,,,,,,,,,,
SEM,DIVERSE,GILCAP,25,7/18/2025,6,D3,32.6,8,,,,200,,,,,,,,,,,,,
SEM,DIVERSE,GILCAP,26,7/18/2025,6,A3,40,3,,,,75,,,,,,,,,,,,,
SEM,DIVERSE,GILCAP,27,7/18/2025,6,B2,32.5,1,,,,25,,,,,,,,,,,,,
SEM,DIVERSE,GILCAP,28,7/18/2025,6,E5,30.5,0,,,,0,BT,,,,,,,,,,,,
SEM,DIVERSE,GILCAP,29,7/18/2025,6,C5,24.2,1,,,,25,,,,,,,,,,,,,
SEM,DIVERSE,GILCAP,30,7/18/2025,6,A5,14,1,,,,25,,,,,,,,,,,,,
SEM,DIVERSE,GILCAP,31,7/18/2025,6,A4,34.2,1,,,,25,,,,,,,,,,,,,
