PARK,PLOT,SPECIES,REP,DATEFF,HEIGHT,NOTES
WIR,ALONE,EPIDEN,1,6/18/2024,11.1,
WIR,ALONE,EPIDEN,2,6/18/2024,15.1,
WIR,ALONE,EPIDEN,3,6/25/2024,19.6,
WIR,ALONE,GILCAP,1,7/2/2024,17.1,
WIR,ALONE,GILCAP,2,,,NF
WIR,ALONE,GILCAP,3,7/2/2024,18.5,
WIR,ALONE,COLLOM,1,,,dead
WIR,ALONE,COLLOM,2,6/28/2024,10.3,fruits
WIR,ALONE,COLLOM,3,6/18/2024,13.1,fruits
WIR,ALONE,CLAPUR,1,7/2/2024,10,
WIR,ALONE,CLAPUR,2,,,NF
WIR,ALONE,CLAPUR,3,,,NF
WIR,ALONE,COLLIN,1,,,DEAD
WIR,ALONE,COLLIN,2,5/14/2024,15.1,
WIR,ALONE,COLLIN,3,6/11/2024,16.6,
WIR,DIVERSE,PLECON,1,5/21/2024,10.7,
WIR,DIVERSE,PLECON,2,4/26/2024,14.3,
WIR,DIVERSE,PLECON,3,4/26/2024,7.8,
WIR,DIVERSE,NAVSQU,1,6/25/2024,28.5,
WIR,DIVERSE,NAVSQU,2,6/25/2024,7.8,
WIR,DIVERSE,NAVSQU,3,6/25/2024,22.4,
WIR,DIVERSE,PLAFIG,1,5/31/2024,5.8,
WIR,DIVERSE,PLAFIG,2,5/14/2024,4.2,
WIR,DIVERSE,PLAFIG,3,5/14/2024,8.4,
WIR,DIVERSE,EPIDEN,1,6/28/2024,11.6,
WIR,DIVERSE,EPIDEN,2,6/28/2024,20.9,
WIR,DIVERSE,EPIDEN,3,6/25/2024,17.1,
WIR,DIVERSE,GILCAP,1,6/25/2024,21.6,
WIR,DIVERSE,GILCAP,2,6/21/2024,36.1,
WIR,DIVERSE,GILCAP,3,6/25/2024,24.2,
WIR,DIVERSE,COLLOM,1,6/25/2024,10.9,fruiting
WIR,DIVERSE,COLLOM,2,6/18/2024,12.6,fruiting
WIR,DIVERSE,COLLOM,3,6/25/2024,19.7,fruiting
WIR,DIVERSE,CLAPUR,1,6/21/2024,24.6,
WIR,DIVERSE,CLAPUR,2,6/25/2024,12.6,
WIR,DIVERSE,CLAPUR,3,6/25/2024,22.4,
WIR,DIVERSE,COLLIN,1,5/14/2024,11.3,
WIR,DIVERSE,COLLIN,2,6/7/2024,9.2,
WIR,DIVERSE,COLLIN,3,5/31/2024,10.4,
RF,ALONE,PLECON,1,4/19/2024,12.9,
RF,ALONE,PLECON,2,4/16/2024,15.9,
RF,ALONE,PLECON,3,5/7/2024,29,
RF,ALONE,NAVSQU,1,6/18/2024,42.9,
RF,ALONE,NAVSQU,2,6/14/2024,54.9,
RF,ALONE,NAVSQU,3,6/21/2024,49.6,
RF,ALONE,PLAFIG,1,4/9/2024,19.4,
RF,ALONE,PLAFIG,2,4/5/2024,16.6,
RF,ALONE,PLAFIG,3,4/19/2024,11.3,
RF,ALONE,EPIDEN,1,6/14/2024,76.7,
RF,ALONE,EPIDEN,2,6/14/2024,74.3,
RF,ALONE,EPIDEN,3,6/11/2024,49.1,
RF,ALONE,GILCAP,1,5/24/2024,46.7,
RF,ALONE,GILCAP,2,5/14/2024,66.1,
RF,ALONE,GILCAP,3,5/14/2024,56.2,
RF,ALONE,COLLOM,1,,,DEAD
RF,ALONE,COLLOM,2,5/28/2024,89.6,
RF,ALONE,COLLOM,3,5/31/2024,80.4,
RF,ALONE,CLAPUR,1,,,DEAD
RF,ALONE,CLAPUR,2,6/11/2024,109.4,
RF,ALONE,CLAPUR,3,,,DEAD
RF,ALONE,COLLIN,1,5/7/2024,30.1,
RF,ALONE,COLLIN,2,5/14/2024,31.4,
RF,ALONE,COLLIN,3,5/7/2024,29.4,
RF,DIVERSE,PLECON,1,5/7/2024,28.2,
RF,DIVERSE,PLECON,2,4/23/2024,13.9,
RF,DIVERSE,PLECON,3,5/14/2024,27.7,
RF,DIVERSE,NAVSQU,1,6/25/2024,11.1,
RF,DIVERSE,NAVSQU,2,6/25/2024,12.6,
RF,DIVERSE,NAVSQU,3,6/28/2024,20.7,
RF,DIVERSE,PLAFIG,1,4/30/2024,15.9,
RF,DIVERSE,PLAFIG,2,4/23/2024,21,
RF,DIVERSE,PLAFIG,3,4/12/2024,12.4,
RF,DIVERSE,EPIDEN,1,6/25/2024,45.1,
RF,DIVERSE,EPIDEN,2,7/2/2024,39.8,
RF,DIVERSE,EPIDEN,3,,,NF
RF,DIVERSE,GILCAP,1,6/4/2024,21.9,
RF,DIVERSE,GILCAP,2,6/11/2024,21.2,
RF,DIVERSE,GILCAP,3,5/17/2024,39.1,
RF,DIVERSE,COLLOM,1,6/25/2024,40.4,
RF,DIVERSE,COLLOM,2,6/4/2024,53.5,
RF,DIVERSE,COLLOM,3,6/14/2024,43.3,
RF,DIVERSE,CLAPUR,1,6/11/2024,43.4,
RF,DIVERSE,CLAPUR,2,6/11/2024,49.1,
RF,DIVERSE,CLAPUR,3,,,DEAD
RF,DIVERSE,COLLIN,1,5/10/2024,18.1,
RF,DIVERSE,COLLIN,2,5/7/2024,30.5,
RF,DIVERSE,COLLIN,3,5/14/2024,30,
